id,timestamp,cycle_number,btc_price,fear_greed,btc_dominance,etf_flows_7d,current_state,previous_state,days_in_state,portfolio_value,btc_holdings,usdc_holdings,daily_return,total_return,btc_above_20_sma,sma_20_above_50,btc_was_strong_3d_ago,btc_was_strong_7d_ago,transition_progress,transition_message
11,"2026-03-16T12:15:38.726Z",1,73587.4,23,56.7898749772683,363200000,"DORMANT","N/A",0.00007662037037037037,391.70207021,0,391.70207021,0.0005285192749551713,0.0005285192749551713,1,0,1,1,0.00025501543209876544,"Dormancy Period (0.0/30d)"
12,"2026-03-16T13:14:21.379Z",1,73972,23,56.85420868420461,401660000.0000006,"DORMANT","N/A",0.00007590277777777778,391.70207021,0,391.70207021,0.0005285192749551713,0.0005285192749551713,1,0,1,1,0.000252662037037037,"Dormancy Period (0.0/30d)"
13,"2026-03-16T13:26:19.722Z",1,73946.3,23,56.868599352470405,399090000.0000009,"DORMANT","N/A",0.0000754050925925926,391.70207021,0,391.70207021,0.0005285192749551713,0.0005285192749551713,1,0,1,1,0.00025108024691358023,"Dormancy Period (0.0/30d)"
14,"2026-03-17T12:07:07.831Z",1,74069.4,28,56.73811544080577,386900000,"DORMANT","N/A",0.0000744212962962963,521.51877021,0,521.51877021,33.1423972964003,33.1423972964003,1,0,1,1,0.0002478009259259259,"Dormancy Period (0.0/30d)"
15,"2026-03-18T11:05:55.331Z",1,73820.1,26,56.7004852421413,329930000.0000003,"DORMANT","N/A",0.00007907407407407407,521.51877021,0,521.51877021,33.1423972964003,33.1423972964003,1,0,1,1,0.00026350308641975303,"Dormancy Period (0.0/30d)"
16,"2026-03-18T13:32:02.441Z",1,72339,50,56.05,181819999.9999997,"DORMANT","N/A",0.00027417824074074074,521.51877021,0,521.51877021,78.78600281453546,78.78600281453546,1,0,1,1,0.0009135416666666668,"Dormancy Period (0.0/30d)"
17,"2026-03-18T21:53:08.614Z",1,71320.3,26,56.4424733570644,79950000,"DORMANT","N/A",0.00005315972222222222,291.7,0,291.7,0,0,1,0,1,1,0.00017700617283950617,"Dormancy Period (0.0/30d)"
18,"2026-03-18T21:55:49.807Z",1,71343.6,26,56.4424733570644,82280000.0000003,"DORMANT","N/A",0.00004704861111111111,291.7,0,291.7,0,0,1,0,1,1,0.00015659722222222222,"Dormancy Period (0.0/30d)"
19,"2026-03-18T21:56:22.575Z",1,71345,26,56.4424733570644,82419999.9999997,"DORMANT","N/A",0.000046979166666666666,291.7,0,291.7,0,0,1,0,1,1,0.00015636574074074074,"Dormancy Period (0.0/30d)"
20,"2026-03-19T05:49:34.423Z",1,70830.1,23,56.34067504925812,-12289999.999999419,"DORMANT","N/A",0.00005244212962962963,291.7,0,291.7,0,0,1,0,1,1,0.0001745756172839506,"Dormancy Period (0.0/30d)"
21,"2026-03-19T05:57:51.851Z",1,70834.7,23,56.347064552058654,-11830000.00000029,"DORMANT","N/A",0.00004568287037037037,291.7,0,291.7,0,0,1,0,1,1,0.00015204475308641975,"Dormancy Period (0.0/30d)"
22,"2026-03-19T06:00:31.612Z",1,70831.4,23,56.347064552058654,-12160000.000000581,"DORMANT","N/A",0.000045601851851851854,291.7,0,291.7,0,0,1,0,1,1,0.00015185185185185185,"Dormancy Period (0.0/30d)"
23,"2026-03-19T06:11:34.220Z",1,70874.6,23,56.359541931153515,-7839999.999999418,"DORMANT","N/A",0.000046724537037037035,291.7,0,291.7,0,0,1,0,1,1,0.00015555555555555556,"Dormancy Period (0.0/30d)"
24,"2026-03-19T06:18:17.506Z",1,70933.6,23,56.361416492330186,-1939999.999999418,"DORMANT","N/A",0.000046122685185185184,291.7,0,291.7,0,0,1,0,1,1,0.0001535493827160494,"Dormancy Period (0.0/30d)"
25,"2026-03-19T06:26:04.713Z",1,70852.6,23,56.36380804133234,-10039999.999999419,"DORMANT","N/A",0.000046412037037037034,291.7,0,291.7,0,0,1,0,1,1,0.00015435956790123457,"Dormancy Period (0.0/30d)"
26,"2026-03-19T06:27:49.528Z",1,70886.9,23,56.36380804133234,-6610000.000000582,"DORMANT","N/A",0.000046180555555555554,291.7,0,291.7,0,0,1,0,1,1,0.0001537037037037037,"Dormancy Period (0.0/30d)"
27,"2026-03-19T06:48:01.524Z",1,70694.7,23,56.32015519938397,-25830000.00000029,"DORMANT","N/A",0.00004578703703703704,291.7,0,291.7,0,0,1,0,1,1,0.00015246913580246912,"Dormancy Period (0.0/30d)"
28,"2026-03-19T07:25:50.778Z",1,69710.1,23,56.19662844314337,-124289999.99999942,"DORMANT","N/A",0.00006789351851851852,291.7,0,291.7,0,0,0,0,1,1,0.00022604166666666668,"Dormancy Period (0.0/30d)"
29,"2026-03-19T07:28:34.005Z",1,69811.7,23,56.19662844314337,-114130000.0000003,"DORMANT","N/A",0.0000638425925925926,291.7,0,291.7,0,0,0,0,1,1,0.00021261574074074076,"Dormancy Period (0.0/30d)"
